FROM | (68.64, 122.83) to (97.51, 132.71)
SHUT | (2497.2, 1238.67) to (2512.86, 1246.61)
OFF | (2514.48, 1238.67) to (2526.06, 1246.61)
TT | (2576.64, 1231.99) to (2580.3, 1248.49)
GE | (2580.48, 1231.99) to (2585.13, 1248.49)
- | (2599.44, 1231.99) to (2601.25, 1238.65)
-T | (2599.68, 1231.99) to (2604.68, 1250.27)
TE | (2601.6, 1231.99) to (2608.35, 1250.27)
HM | (2604.96, 1231.99) to (2613.09, 1250.27)
ERP | (2609.04, 1231.99) to (2616.99, 1250.27)
M. | (2616.96, 1231.99) to (2621.49, 1250.27)
E | (2620.32, 1231.99) to (2623.95, 1238.65)
OL | (2621.52, 1231.99) to (2626.95, 1250.27)
ME | (2625.84, 1231.99) to (2630.67, 1250.27)
EM | (2630.4, 1231.99) to (2635.41, 1250.27)
TE | (2634.24, 1231.99) to (2639.31, 1250.27)
EN | (2637.84, 1231.99) to (2643.21, 1250.27)
RT | (2641.68, 1231.99) to (2646.68, 1250.27)
D | (2744.16, 1229.93) to (2747.69, 1236.16)
LOIS | (2744.16, 1229.93) to (2751.99, 1250.32)
CP | (2750.4, 1229.93) to (2755.11, 1250.32)
AL | (2753.76, 1229.93) to (2757.68, 1250.32)
LA | (2756.88, 1229.93) to (2760.87, 1250.32)
DYE | (2760.72, 1229.93) to (2767.11, 1250.32)
CD | (2764.08, 1229.93) to (2770.5, 1250.32)
S | (2767.44, 1244.09) to (2770.71, 1250.32)
O | (2771.52, 1229.93) to (2775.33, 1236.16)
ON | (2771.76, 1229.93) to (2778.66, 1250.32)
R | (2775.36, 1244.09) to (2778.89, 1250.32)
C | (2779.68, 1229.93) to (2783.21, 1236.16)
AUR | (2779.92, 1229.93) to (2786.57, 1250.32)
XT | (2786.4, 1229.93) to (2789.67, 1250.32)
ILIARY | (2789.52, 1244.09) to (2804.31, 1250.32)
, | (2850.06, 1234.4) to (2859.5, 1237.44)
L | (2850.06, 1237.38) to (2859.5, 1243.44)
L | (2850.06, 1243.38) to (2859.5, 1249.44)
S.C. | (2452.32, 1250.19) to (2463.58, 1258.13)
-SAMPLE | (2476.08, 1250.19) to (2504.07, 1258.13)
CONN. | (2505.84, 1250.19) to (2524.3, 1258.13)
THS | (2576.64, 1251.67) to (2588.55, 1258.33)
-TEMP. | (2599.44, 1251.67) to (2618.71, 1258.33)
HAND | (2620.32, 1251.67) to (2636.01, 1258.33)
SWITCH | (2637.84, 1251.67) to (2659.77, 1258.33)
DCS | (2744.16, 1252.73) to (2754.15, 1258.96)
LOCATION | (2755.2, 1252.73) to (2779.13, 1258.96)
NORMALLY | (2780.16, 1252.73) to (2805.75, 1258.96)
U | (2850.06, 1249.5) to (2859.5, 1257.36)
F | (2850.06, 1257.18) to (2859.5, 1263.84)
S | (2456.4, 1264.59) to (2460.39, 1272.53)
-DRAIN | (2476.32, 1264.59) to (2495.13, 1272.53)
TO | (2496.72, 1264.59) to (2504.31, 1272.53)
TI | (2576.64, 1261.75) to (2582.14, 1268.41)
-TEMP. | (2599.44, 1261.75) to (2618.71, 1268.41)
INDICATOR | (2620.32, 1261.75) to (2650.89, 1268.41)
ACCESSIBLE | (2744.16, 1261.13) to (2773.59, 1267.36)
TO | (2774.64, 1261.13) to (2781.33, 1267.36)
OPERATOR | (2782.32, 1261.13) to (2808.66, 1267.36)
N | (2850.06, 1267.02) to (2859.5, 1274.88)
PRESSURE | (2480.4, 1274.19) to (2510.19, 1282.13)
SEWER | (2512.08, 1274.19) to (2532.09, 1282.13)
TR | (2576.64, 1271.59) to (2584.8, 1278.25)
-TEMP. | (2599.44, 1271.59) to (2618.71, 1278.25)
RECORDER | (2620.32, 1271.59) to (2652.33, 1278.25)
I | (2850.06, 1274.96) to (2859.5, 1278.0)
(PLC) | (2744.16, 1278.17) to (2756.35, 1284.4)
PROGRAMMABLE | (2757.6, 1278.17) to (2797.59, 1284.4)
LOGIC | (2798.64, 1278.17) to (2813.21, 1284.4)
TS | (2576.64, 1281.43) to (2584.47, 1288.09)
-TEMP. | (2599.92, 1281.43) to (2618.95, 1288.09)
SWITCH | (2620.56, 1281.43) to (2642.73, 1288.09)
N | (2850.06, 1281.18) to (2859.5, 1289.04)
OW | (2452.32, 1288.59) to (2462.53, 1296.53)
DS | (2457.6, 1288.59) to (2466.39, 1307.57)
- | (2476.08, 1288.35) to (2478.07, 1296.29)
-O | (2476.32, 1288.35) to (2482.65, 1307.81)
DRIL | (2478.24, 1288.35) to (2487.57, 1307.81)
AY | (2486.4, 1288.35) to (2491.35, 1307.81)
I | (2490.48, 1299.87) to (2492.14, 1307.81)
NWATER | (2492.16, 1288.35) to (2514.0, 1307.81)
SEWER | (2515.44, 1288.35) to (2536.8, 1296.29)
T | (2576.64, 1291.51) to (2580.3, 1298.17)
TTT | (2576.64, 1291.51) to (2584.14, 1308.01)
D | (2583.84, 1301.35) to (2588.16, 1308.01)
-- | (2599.44, 1292.62) to (2601.49, 1308.01)
TT | (2601.36, 1292.62) to (2604.92, 1308.01)
EE | (2604.72, 1292.62) to (2608.59, 1308.01)
MM | (2608.56, 1292.62) to (2613.33, 1308.01)
PP | (2613.36, 1292.62) to (2616.99, 1308.01)
.. | (2617.2, 1292.62) to (2618.71, 1308.01)
TT | (2620.32, 1292.62) to (2623.64, 1308.01)
RR | (2623.68, 1292.62) to (2627.61, 1308.01)
AA | (2627.76, 1292.62) to (2631.39, 1308.01)
NN | (2631.6, 1292.62) to (2635.53, 1308.01)
SS | (2635.68, 1292.62) to (2639.31, 1308.01)
DM | (2639.28, 1292.62) to (2644.05, 1308.01)
UIT | (2643.36, 1292.62) to (2648.84, 1308.01)
CT | (2647.44, 1292.62) to (2652.44, 1308.01)
EE | (2651.52, 1292.62) to (2656.11, 1308.01)
RR | (2655.36, 1292.62) to (2660.25, 1308.01)
C | (2744.16, 1286.81) to (2747.69, 1293.04)
N | (2744.16, 1295.21) to (2747.3, 1301.44)
BYOO | (2744.16, 1286.81) to (2751.33, 1309.84)
R | (2750.64, 1295.21) to (2753.78, 1301.44)
ON | (2751.12, 1286.81) to (2754.65, 1309.84)
MT | (2753.76, 1286.81) to (2757.47, 1301.44)
PR | (2754.48, 1286.81) to (2760.89, 1309.84)
A | (2757.36, 1295.21) to (2760.26, 1301.44)
EL | (2757.6, 1295.21) to (2762.66, 1309.84)
RO | (2760.48, 1286.81) to (2764.53, 1309.84)
L | (2762.64, 1295.21) to (2765.06, 1301.44)
AL | (2763.6, 1286.81) to (2767.04, 1309.84)
Y | (2765.04, 1295.21) to (2767.94, 1301.44)
TL | (2766.48, 1286.81) to (2769.68, 1309.84)
OE | (2769.12, 1286.81) to (2772.63, 1309.84)
IN | (2769.36, 1295.21) to (2773.7, 1301.44)
RR | (2772.48, 1286.81) to (2776.01, 1309.84)
A | (2773.68, 1295.21) to (2776.58, 1301.44)
CI/O | (2776.8, 1286.81) to (2783.25, 1301.44)
C | (2779.92, 1295.21) to (2783.06, 1301.44)
EP | (2783.04, 1286.81) to (2787.51, 1301.44)
SO | (2785.92, 1286.81) to (2791.17, 1301.44)
SI | (2788.8, 1286.81) to (2792.32, 1301.44)
IN | (2791.68, 1286.81) to (2795.93, 1301.44)
BT | (2793.12, 1286.81) to (2798.75, 1301.44)
LE | (2796.0, 1295.21) to (2801.3, 1301.44)
ITO | (2850.06, 1288.97) to (2859.5, 1307.04)
C | (2850.06, 1307.1) to (2859.5, 1314.96)
V | (2457.84, 1311.15) to (2461.83, 1319.09)
-VENT | (2476.08, 1310.91) to (2493.66, 1318.85)
TW | (2576.64, 1311.19) to (2586.13, 1317.85)
-THERMOWELL | (2599.44, 1312.39) to (2639.43, 1319.05)
U | (2850.06, 1315.02) to (2859.5, 1322.88)
D | (2850.06, 1322.94) to (2859.5, 1330.8)
O | (2850.07, 1330.73) to (2859.5, 1339.2)
R | (2850.06, 1339.26) to (2859.5, 1347.12)
P | (2850.06, 1347.3) to (2859.5, 1354.56)
E | (2849.82, 1354.74) to (2859.26, 1362.0)
R | (2849.82, 1362.06) to (2859.26, 1369.92)
O | (2849.83, 1372.97) to (2859.26, 1381.44)
N | (2849.82, 1381.5) to (2859.26, 1389.36)
.O | (2849.82, 1392.56) to (2859.26, 1404.0)
C | (2849.82, 1404.06) to (2859.26, 1411.92)
M | (2849.83, 1411.97) to (2859.26, 1421.04)
4"-P-1017-15NX0P | (302.64, 1423.32) to (387.95, 1435.14)
LTHE-S7 | (2560.32, 1420.23) to (2606.13, 1431.4)
REVISION | (2609.28, 1420.23) to (2662.71, 1431.4)
CONTROL | (2665.92, 1420.23) to (2720.37, 1431.4)
A | (2849.82, 1420.98) to (2859.26, 1428.24)
R | (2849.82, 1428.3) to (2859.26, 1436.16)
A | (2849.82, 1436.34) to (2859.26, 1443.6)
I | (2849.82, 1446.57) to (2859.26, 1449.6)
D | (2849.82, 1449.66) to (2859.26, 1457.52)
U | (2849.82, 1457.58) to (2859.26, 1465.44)
A | (2849.82, 1465.62) to (2859.26, 1472.88)
S | (2849.82, 1473.06) to (2859.26, 1480.32)
F | (2849.82, 1483.26) to (2859.26, 1489.92)
O | (2849.59, 1489.85) to (2859.02, 1498.32)
Y | (2849.58, 1501.62) to (2859.02, 1508.88)
T | (2849.58, 1508.7) to (2859.02, 1515.36)
R | (2849.58, 1515.42) to (2859.02, 1523.28)
E | (2849.58, 1523.22) to (2859.02, 1530.48)
P | (2849.58, 1530.66) to (2859.02, 1537.92)
O | (2849.59, 1537.85) to (2859.02, 1546.32)
R | (2849.58, 1546.38) to (2859.02, 1554.24)
P | (2849.58, 1554.42) to (2859.02, 1561.68)
E | (2849.58, 1564.98) to (2859.02, 1572.24)
L | (2849.58, 1572.18) to (2859.02, 1578.24)
O | (2849.59, 1578.17) to (2859.02, 1586.64)
S | (2849.58, 1586.58) to (2859.02, 1593.84)
E | (2849.58, 1597.14) to (2859.02, 1604.4)
H | (2849.58, 1604.46) to (2859.02, 1612.32)
T | (2849.58, 1612.14) to (2859.02, 1618.8)
E | (2849.58, 1622.1) to (2859.02, 1629.36)
REVISION | (2588.64, 1625.81) to (2633.63, 1635.26)
VALIDATION | (2636.16, 1625.81) to (2692.43, 1635.26)
R | (2849.34, 1629.42) to (2858.78, 1637.28)
A | (2849.34, 1637.22) to (2858.78, 1644.48)
THIS | (2450.88, 1644.05) to (2472.31, 1653.5)
REVISION | (2474.88, 1644.05) to (2520.11, 1653.5)
NO. | (2522.64, 1644.05) to (2539.43, 1653.5)
IS | (2568.48, 1644.05) to (2577.43, 1653.5)
COVERED, | (2580.0, 1644.05) to (2628.95, 1653.5)
FOR | (2631.6, 1644.05) to (2651.63, 1653.5)
ALL | (2654.16, 1644.05) to (2670.94, 1653.5)
APPROVAL | (2673.6, 1644.05) to (2724.46, 1653.5)
AND | (2727.12, 1644.05) to (2746.91, 1653.5)
CERTIFICATION | (2749.68, 1644.05) to (2822.03, 1653.5)
N | (2849.34, 1647.66) to (2858.78, 1655.52)
REQUIREMENTS, | (2452.56, 1657.01) to (2530.79, 1666.46)
PER | (2533.44, 1657.01) to (2552.99, 1666.46)
SAEP-334, | (2555.52, 1657.01) to (2602.31, 1666.46)
UNDER | (2604.96, 1657.01) to (2638.19, 1666.46)
DRAWING | (2640.96, 1657.01) to (2686.72, 1666.46)
COMPLETION | (2689.44, 1657.01) to (2751.95, 1666.46)
CERTIFICATE | (2754.48, 1657.01) to (2816.23, 1666.46)
NO: | (2818.8, 1657.01) to (2835.59, 1666.46)
IE | (2849.34, 1655.61) to (2858.78, 1665.84)
R | (2849.34, 1665.9) to (2858.78, 1673.76)
E | (2849.34, 1673.94) to (2858.78, 1681.2)
H | (2849.34, 1681.26) to (2858.78, 1689.12)
D | (2849.34, 1692.3) to (2858.78, 1700.16)
DESIGN | (2473.68, 1695.87) to (2503.66, 1703.81)
CERTIFICATION | (2505.84, 1695.87) to (2566.06, 1703.81)
REVIEW | (2627.76, 1695.87) to (2658.79, 1703.81)
FOR | (2661.36, 1695.87) to (2677.9, 1703.81)
KEY | (2679.84, 1695.87) to (2695.7, 1703.81)
DRAWINGS | (2697.84, 1695.87) to (2741.3, 1703.81)
OTHER | (2791.2, 1695.87) to (2818.78, 1703.81)
E | (2849.34, 1700.34) to (2858.78, 1707.6)
(DESIGN | (2484.96, 1704.51) to (2517.58, 1712.45)
AGENCY) | (2519.76, 1704.51) to (2555.29, 1712.45)
REQUIRED | (2625.84, 1704.51) to (2667.1, 1712.45)
(SAUDI | (2688.72, 1704.51) to (2715.17, 1712.45)
ARAMCO) | (2717.28, 1704.51) to (2754.25, 1712.45)
N | (2849.34, 1707.66) to (2858.78, 1715.52)
ENGG./DATE | (2456.88, 1717.95) to (2505.38, 1725.89)
CERTIFIED | (2521.92, 1717.95) to (2563.18, 1725.89)
BY/DATE | (2565.36, 1717.95) to (2598.76, 1725.89)
CONST. | (2605.92, 1717.95) to (2631.89, 1725.89)
AGENCY/DATE | (2634.0, 1717.95) to (2683.6, 1725.89)
OPERATIONS/DATE | (2689.44, 1717.95) to (2764.1, 1725.89)
BY/DATE | (2785.92, 1716.99) to (2819.54, 1724.93)
I | (2849.34, 1715.61) to (2858.78, 1718.64)
A | (2849.34, 1718.82) to (2858.78, 1726.08)
T | (2849.34, 1725.91) to (2858.78, 1732.56)
N | (2849.34, 1732.62) to (2858.78, 1740.48)
O | (2849.35, 1740.41) to (2858.78, 1748.88)
REV.NO. | (2438.64, 1752.75) to (2470.85, 1760.69)
DATE | (2482.56, 1751.79) to (2503.46, 1759.73)
REVISION | (2526.24, 1751.31) to (2563.66, 1759.25)
DESCRIPTION | (2565.84, 1751.31) to (2619.58, 1759.25)
C | (2849.34, 1748.94) to (2858.78, 1756.8)
N | (2849.34, 1759.98) to (2858.78, 1767.84)
O | (2849.11, 1767.77) to (2858.54, 1776.24)
IT | (2849.1, 1776.33) to (2858.54, 1785.84)
JOB | (2446.08, 1785.15) to (2461.22, 1793.09)
ORDER/EWO | (2463.36, 1785.15) to (2513.23, 1793.09)
NO. | (2515.2, 1785.15) to (2529.17, 1793.09)
THIS | (2663.76, 1788.77) to (2681.08, 1798.22)
REVISION | (2683.2, 1788.77) to (2719.42, 1798.22)
IS | (2721.6, 1788.77) to (2728.6, 1798.22)
NOT | (2730.72, 1788.77) to (2746.65, 1798.22)
TO | (2748.72, 1788.77) to (2759.44, 1798.22)
BE | (2761.44, 1788.77) to (2771.56, 1798.22)
USED | (2773.68, 1788.77) to (2794.78, 1798.22)
FOR | (2796.96, 1788.77) to (2812.78, 1798.22)
A | (2849.1, 1786.02) to (2858.54, 1793.28)
M | (2849.11, 1793.33) to (2858.54, 1802.4)
CONSTRUCTION | (2655.84, 1800.05) to (2716.78, 1809.5)
UNTIL | (2718.96, 1800.05) to (2740.71, 1809.5)
CERTIFIED | (2742.72, 1800.05) to (2782.78, 1809.5)
AND | (2784.72, 1800.05) to (2800.78, 1809.5)
DATED | (2802.96, 1800.05) to (2828.62, 1809.5)
R | (2849.1, 1802.46) to (2858.54, 1810.32)
O | (2849.11, 1810.25) to (2858.54, 1818.72)
F | (2849.1, 1818.55) to (2858.54, 1825.2)
N | (2849.1, 1825.26) to (2858.54, 1833.12)
I | (2849.1, 1833.21) to (2858.54, 1836.24)
PIPING | (2499.36, 1842.23) to (2543.49, 1855.77)
& | (2546.64, 1842.23) to (2556.41, 1855.77)
INSTRUMENT | (2559.6, 1842.23) to (2645.15, 1855.77)
DIAGRAM | (2648.4, 1842.23) to (2709.84, 1855.77)
DRAWING | (2781.36, 1839.15) to (2819.47, 1847.09)
TYPE | (2821.68, 1839.15) to (2842.34, 1847.09)
E | (2849.1, 1839.54) to (2858.54, 1846.8)
H | (2849.1, 1846.86) to (2858.54, 1854.72)
T | (2849.1, 1854.55) to (2858.54, 1861.2)
D | (2849.1, 1864.38) to (2858.54, 1872.24)
N | (2849.1, 1872.3) to (2858.54, 1880.16)
A | (2849.1, 1880.34) to (2858.54, 1887.6)
G | (2849.11, 1890.65) to (2858.54, 1899.12)
N | (2849.1, 1899.18) to (2858.54, 1907.04)
IW | (2848.86, 1907.13) to (2858.3, 1920.24)
SAUDI | (2725.44, 1916.33) to (2763.53, 1929.0)
ARABIA | (2767.2, 1916.33) to (2813.34, 1929.0)
A | (2848.86, 1920.42) to (2858.3, 1927.68)
R | (2848.86, 1927.74) to (2858.3, 1935.6)
PLANT | (2451.12, 1936.83) to (2476.38, 1944.77)
NO. | (2478.72, 1936.83) to (2492.45, 1944.77)
INDEX | (2516.64, 1936.83) to (2540.66, 1944.77)
DRAWING | (2600.88, 1936.83) to (2638.72, 1944.77)
NUMBER | (2641.2, 1936.83) to (2675.02, 1944.77)
SHT. | (2736.96, 1936.83) to (2754.77, 1944.77)
NO. | (2757.12, 1936.83) to (2770.85, 1944.77)
REV. | (2796.48, 1936.83) to (2814.77, 1944.77)
NO. | (2816.88, 1936.83) to (2830.85, 1944.77)
D | (2848.86, 1935.66) to (2858.3, 1943.52)
S | (2848.86, 1946.82) to (2858.3, 1954.08)
I | (2848.86, 1954.17) to (2858.3, 1957.21)
H | (2848.86, 1957.26) to (2858.3, 1965.13)
T | (2848.86, 1964.95) to (2858.3, 1971.61)
Saudi | (2765.76, 1984.37) to (2782.09, 1991.67)
Aramco | (2783.52, 1984.37) to (2805.63, 1991.67)
5994 | (2807.28, 1984.37) to (2821.47, 1991.67)
ENG. | (2822.88, 1984.37) to (2838.62, 1991.67)
(09/03) | (2840.16, 1984.37) to (2860.57, 1991.67)
CADD-05 | (2809.68, 2000.91) to (2843.14, 2008.85)
21P0LL51-0102-P-"6 | (514.44, 936.99) to (526.5, 1031.28)
HTW | (541.15, 950.23) to (551.03, 973.2)
"265.0 | (541.15, 975.93) to (551.03, 1004.16)
x | (541.15, 1006.66) to (551.03, 1011.6)
"6 | (541.15, 1014.33) to (551.03, 1023.36)
B | (551.95, 958.93) to (561.83, 965.52)
RG | (551.95, 967.99) to (561.83, 982.8)
L5 | (551.95, 985.47) to (561.83, 996.48)
IPA | (551.95, 999.25) to (561.83, 1014.96)
21P0LL51-1002-P-"61 | (660.12, 874.59) to (671.94, 974.16)
HTW | (680.83, 875.59) to (690.71, 898.56)
"834.1 | (680.83, 901.29) to (690.71, 929.52)
x | (680.83, 932.02) to (690.71, 936.96)
"61 | (680.83, 939.69) to (690.71, 954.24)
B | (691.87, 886.93) to (701.75, 893.52)
RG | (691.87, 895.99) to (701.75, 910.8)
L5 | (691.87, 913.47) to (701.75, 924.48)
IPA | (691.87, 927.25) to (701.75, 942.96)
0.00 | (1310.88, 790.51) to (1330.06, 800.39)
- | (1332.72, 790.51) to (1336.01, 800.39)
250.00 | (1338.72, 790.51) to (1368.94, 800.39)
°F | (1372.32, 790.51) to (1382.2, 800.39)
00B | (480.72, 1160.91) to (495.4, 1171.08)
00B | (2443.44, 1341.99) to (2463.37, 1353.16)
01/21/22 | (2470.08, 1341.99) to (2513.73, 1353.16)
RE-ISSUED | (2519.52, 1342.47) to (2580.15, 1353.64)
FOR | (2583.12, 1342.47) to (2606.79, 1353.64)
CONSTRUCTION | (2609.76, 1342.47) to (2699.91, 1353.64)
AB | (2729.52, 1341.99) to (2744.41, 1353.16)
CDS | (2769.84, 1341.99) to (2793.13, 1353.16)
BL | (2816.4, 1341.99) to (2830.05, 1353.16)
MRJN | (2598.0, 1891.59) to (2638.77, 1905.98)
521/529, | (2642.77, 1891.59) to (2698.77, 1905.98)
329 | (2702.77, 1891.59) to (2726.78, 1905.98)
